                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1137,                 3.4165,                 2.0238,                 1.8962,                 5.9099,                 1.7622,                0.02092,                 0.2735,                0.03337,                0.01289,                 2.4603,                 4.1933,                 2.7115,                 2.1318,                 8.9503,                 2.1899,             0.00054773,             0.00054773,             0.00054773
                      2,                 2.1247,                 2.9514,                 1.9728,                 1.8799,                 4.8842,                 1.7198,                0.14253,                0.14854,                0.04636,                0.01393,                 2.7316,                 9.2673,                 2.8372,                 2.3651,                 8.9734,                 2.5946,              0.0011013,              0.0011013,              0.0011013
                      3,                 2.1255,                 2.8186,                 1.9814,                 1.9453,                 4.1841,                 1.7565,                0.06309,                0.12547,                0.01938,                0.00673,                 2.6233,                 6.8663,                 2.8366,                 2.3257,                 6.1818,                  2.533,              0.0016526,              0.0016526,              0.0016526
                      4,                 2.1026,                 2.6402,                 1.9792,                 1.9403,                  3.637,                 1.7202,                0.42166,                0.06229,                0.06994,                 0.0198,                 2.5876,                 8.7166,                 2.6898,                 2.3614,                 5.5539,                  2.411,              0.0016573,              0.0016573,              0.0016573
                      5,                 2.0979,                 2.5816,                 1.9612,                 1.9395,                 3.3781,                 1.7292,                0.18417,                0.18566,                0.09179,                0.02939,                 2.5292,                 5.6774,                 2.5975,                 2.2492,                 4.9576,                 2.3726,              0.0016573,              0.0016573,              0.0016573
                      6,                 2.0442,                 2.4236,                  1.933,                  1.895,                 3.1378,                  1.712,                0.21389,                0.24387,                0.11308,                0.03755,                 2.4244,                 3.3975,                 2.4954,                 2.2069,                 3.8693,                 2.2479,              0.0016541,              0.0016541,              0.0016541
                      7,                 2.0616,                 2.4144,                 1.9313,                 1.9162,                 3.0664,                 1.7125,                0.36801,                0.28503,                0.19056,                0.05893,                 2.4175,                 3.2739,                 2.4312,                 2.2266,                 3.9647,                 2.1966,              0.0016509,              0.0016509,              0.0016509
                      8,                 1.9863,                 2.3208,                 1.8658,                 1.8846,                 2.9316,                 1.6789,                0.36689,                0.26102,                0.20695,                0.07939,                 2.3047,                 4.1349,                 2.3919,                 2.1785,                 3.8452,                 2.1623,              0.0016477,              0.0016477,              0.0016477
                      9,                 1.9254,                 2.2357,                 1.8199,                 1.8685,                 2.7985,                 1.6736,                0.35374,                0.25354,                0.22343,                0.09136,                 2.2716,                 2.8932,                 2.3723,                 2.0045,                 3.5256,                 2.0679,              0.0016444,              0.0016444,              0.0016444
                     10,                 1.9426,                 2.2421,                 1.8415,                 1.8392,                 2.8279,                 1.6886,                0.32244,                0.14621,                0.08782,                 0.0359,                 2.6644,                 5.0887,                 2.5059,                 2.3283,                 5.8851,                 2.2315,              0.0016412,              0.0016412,              0.0016412
                     11,                 1.9165,                 2.1307,                 1.8081,                 1.8256,                 2.6816,                 1.6266,                0.35667,                0.29802,                0.24011,                0.09816,                 2.4754,                 3.1524,                 2.4042,                 2.2855,                  3.893,                 2.1949,               0.001638,               0.001638,               0.001638
